id,EAP,HPL,MWS
id06018,0.250928105,0.493709778,0.255362117
id15678,0.375718354,0.066889308,0.557392337
id08305,0.539145415,0.191394853,0.269459732
id08903,0.293714518,0.008906302,0.69737918
id14752,0.883206987,0.079619691,0.037173322
id12468,0.127744775,0.864834569,0.007420656
id05085,0.349463828,0.474298689,0.176237484
id21993,0.613514394,0.183051055,0.203434551
id15503,0.583899626,0.1984698,0.217630574
id03021,0.044957653,0.921157689,0.033884658
id16123,0.926234191,0.026584974,0.047180835
id19383,0.836736602,0.118883845,0.044379553
id04186,0.955813718,0.018204769,0.025981513
id17954,0.003673358,0.000291301,0.996035341
id12030,0.46663252,0.034736392,0.498631088
id13020,0.365656569,0.618290766,0.016052665
id25327,0.014864017,0.984097496,0.001038487
id16344,0.208332038,0.208563533,0.583104428
id12303,0.434659643,0.543873746,0.021466612
id15017,0.999538378,0.00042622,3.54E-05
id22308,0.480645518,0.109726063,0.409628419
id06536,0.051881689,0.215632298,0.732486013
id19797,0.619339475,0.278554792,0.102105733
id06332,0.243819353,0.665859635,0.090321012
id22941,0.290218421,0.533327389,0.176454189
id13547,0.067134229,0.306022324,0.626843448
id06928,0.129853935,0.004423578,0.865722487
id12521,0.525221436,0.272617616,0.202160949
id25716,0.509602297,0.10984925,0.380548453
id27116,0.507052577,0.194003341,0.298944083
id19941,0.387048194,0.598491636,0.01446017
id05711,0.066086154,0.383524518,0.550389327
id02097,0.034296966,0.515269187,0.450433847
id03563,0.09127598,0.892726681,0.015997339
id02295,0.59744995,0.157782077,0.244767973
id08179,0.999986907,1.08E-05,2.27E-06
id05332,0.640986695,0.256123374,0.102889931
id15697,0.895687778,0.062017047,0.042295175
id17026,0.823043012,0.070189163,0.106767825
id04243,0.614995504,0.249857644,0.135146852
id13175,0.764587395,0.086363531,0.149049074
id05387,0.896173214,0.051952796,0.05187399
id19989,0.622242225,0.361973474,0.015784301
id25173,0.065622589,0.110477518,0.823899893
id08925,0.456488681,0.515009946,0.028501372
id03034,0.263387176,0.683930864,0.05268196
id13272,0.006667622,0.965958404,0.027373974
id07956,0.952680834,0.040037166,0.007282
id02648,0.302570154,0.558570224,0.138859621
id01778,0.760573336,0.038599587,0.200827077
id12846,0.007469107,0.009190162,0.983340732
id19001,0.395068183,0.33627204,0.268659776
id05763,0.57420992,0.037477583,0.388312497
id15590,0.1475754,0.017100219,0.835324382
id04912,0.612225389,0.34715552,0.040619092
id21201,0.618610536,0.275851935,0.105537528
id13215,0.803874512,0.060295994,0.135829494
id15612,0.017886019,0.94996964,0.032144342
id18501,0.733699389,0.091275509,0.175025101
id07223,0.623457737,0.179379867,0.197162397
id06707,0.651279257,0.145724588,0.202996155
id05238,8.36E-07,0.999884844,0.00011432
id00935,0.012044665,0.095108368,0.892846967
id00110,0.044262875,0.868107232,0.087629893
id17476,0.8449253,0.142307752,0.012766949
id15170,0.760324483,0.208958295,0.030717222
id13397,0.372980938,0.232150143,0.394868919
id24283,0.877009425,0.120673201,0.002317375
id15234,0.774764839,0.193058589,0.032176572
id16884,0.184371486,0.763694719,0.051933795
id07831,0.068876843,0.821776919,0.109346238
id16038,0.882577221,0.080997888,0.036424891
id03629,0.766925428,0.189485234,0.043589338
id21019,0.796221828,0.095989169,0.107789003
id21835,0.81431276,0.11350484,0.0721824
id04480,0.107103749,0.867450845,0.025445406
id20838,0.615826601,0.366643564,0.017529836
id24195,0.641963739,0.258038297,0.099997964
id05448,0.340798289,0.631399205,0.027802507
id15957,0.265772008,0.636883445,0.097344547
id19956,0.063460634,0.041832127,0.894707239
id15104,0.098241025,0.094684817,0.807074157
id17559,0.755228822,0.064360224,0.180410954
id16839,0.134531015,0.07997947,0.785489514
id14493,0.572411316,0.041112257,0.386476427
id08833,0.289927197,0.010991601,0.699081202
id15723,0.525026224,0.040430657,0.434543119
id02716,0.835729847,0.135653572,0.028616581
id06689,0.044467665,0.900150398,0.055381937
id18837,0.136076913,0.002348841,0.861574246
id04466,0.670425631,0.303854928,0.025719441
id00686,0.906228702,0.015527313,0.078243985
id09010,0.436446061,0.468177316,0.095376623
id23353,0.944730249,0.015225389,0.040044361
id00066,0.604503896,0.241018569,0.154477535
id15724,0.566691889,0.338816672,0.094491438
id23486,0.200239208,0.203095723,0.596665069
id22258,0.104498175,0.045401696,0.85010013
id02292,0.711266099,0.128777623,0.159956278
id16356,0.223871037,0.278727516,0.497401447
id00235,0.132909167,0.388473673,0.47861716
id25522,0.342715879,0.038526545,0.618757576
id04204,0.338944651,0.549341592,0.111713756
id22016,0.582714043,0.082628562,0.334657396
id06480,0.00304555,0.949168746,0.047785704
id08718,0.738616189,0.067286421,0.194097389
id05251,0.189774131,0.804199374,0.006026495
id03359,0.18445428,0.428038355,0.387507365
id16117,0.706718739,0.132886669,0.160394592
id17000,0.124115203,0.869256807,0.00662799
id01730,0.424531479,0.570165191,0.00530333
id00630,0.816929409,0.170412182,0.012658409
id18175,0.37011745,0.034367845,0.595514705
id00907,0.572782529,0.12501615,0.302201321
id18251,0.00907478,0.98076792,0.0101573
id25861,0.432412222,0.204466082,0.363121696
id00398,0.468561758,0.476792551,0.054645691
id27573,0.87204241,0.029996066,0.097961525
id10022,0.04132271,0.88310716,0.07557013
id15901,0.670612687,0.026533877,0.302853436
id00451,0.316294313,0.133991631,0.549714055
id23129,0.086025808,0.879430954,0.034543238
id26498,0.848759392,0.117040597,0.034200012
id14741,0.721247107,0.22109778,0.057655113
id18453,0.456030417,0.076834417,0.467135166
id08309,0.525573721,0.448482423,0.025943856
id00320,0.993939566,0.001467123,0.004593311
id07688,0.319897317,0.209604838,0.470497844
id01556,0.019405361,0.001781353,0.978813286
id00178,0.708258242,0.159306874,0.132434884
id18902,0.096609587,0.272686473,0.63070394
id27002,0.529163544,0.331622057,0.139214399
id21418,0.89549276,0.019887486,0.084619754
id23018,0.358587447,0.176342417,0.465070136
id07032,0.403562134,0.053921457,0.542516409
id16195,0.423383528,0.193216375,0.383400097
id11202,0.215704005,0.4606344,0.323661594
id09578,0.456350832,0.031444018,0.51220515
id26984,0.70953903,0.041272425,0.249188545
id19856,0.003253929,0.996736016,1.01E-05
id12086,0.627254792,0.181505763,0.191239445
id12052,0.094873587,0.007423645,0.897702768
id17728,0.035628647,0.045320981,0.919050372
id24608,0.382018137,0.165587236,0.452394627
id21097,0.611228007,0.198635044,0.190136949
id20179,0.002203164,0.011386777,0.98641006
id15144,0.570216128,0.23082401,0.198959863
id00206,0.632615687,0.138641145,0.228743168
id22285,0.335825675,0.091804007,0.572370318
id06417,0.053551,0.894175738,0.052273261
id00215,0.278727898,0.594301906,0.126970196
id04201,0.022503568,0.031260788,0.946235644
id21771,0.696358223,0.197020022,0.106621754
id12451,0.512080306,0.305666023,0.182253671
id14250,0.022912985,0.958132944,0.01895407
id03433,0.08821333,0.873118415,0.038668255
id03303,0.717484277,0.026444965,0.256070758
id25901,0.154445998,0.242702643,0.602851359
id06945,0.86436166,0.045711574,0.089926766
id05664,0.42741275,0.516954046,0.055633204
id05741,0.999964481,3.05E-05,4.99E-06
id10652,0.77031972,0.166711974,0.062968307
id16300,0.900171789,0.033501609,0.066326601
id12319,0.649619449,0.071171365,0.279209186
id07500,2.15E-06,0.999292459,0.000705386
id12478,0.4495193,0.135789125,0.414691575
id03076,0.483653503,0.01951757,0.496828927
id00969,0.14963041,0.825359083,0.025010507
id23636,0.294567325,0.634941478,0.070491198
id09791,0.203643035,0.461180638,0.335176327
id05680,0.175221384,0.758653029,0.066125587
id03672,0.048322461,0.833976905,0.117700634
id04286,0.017861466,0.973147652,0.008990883
id23883,0.043769172,0.05064638,0.905584447
id11914,0.293472541,0.141549227,0.564978232
id20974,0.009519833,0.953841518,0.036638649
id26125,0.633825724,0.009505102,0.356669174
id15543,0.420836661,0.18818695,0.390976389
id19471,0.458588295,0.103409135,0.438002571
id11503,0.664488159,0.277691212,0.057820629
id09321,0.284257223,0.359452037,0.356290741
id25560,0.025613754,0.071864092,0.902522153
id06726,0.224221548,0.398726119,0.377052334
id05709,0.973239685,0.000551009,0.026209306
id09788,0.28195302,0.589615202,0.128431778
id05289,0.972062487,0.026155267,0.001782246
id11815,0.096935576,0.893560393,0.009504032
id22422,0.633058939,0.063107185,0.303833876
id25954,0.478623523,0.122849586,0.398526892
id13601,0.451511784,0.490933384,0.057554832
id05677,0.500434019,0.24848465,0.251081331
id10498,0.097974773,0.885603779,0.016421448
id02665,0.755730242,0.123204574,0.121065184
id10114,0.16619455,0.600306242,0.233499208
id26314,0.940058223,0.037889407,0.02205237
id21240,0.3809137,0.209083021,0.410003279
id15569,0.992790788,0.005452777,0.001756434
id25928,0.386306826,0.23448654,0.379206634
id22706,0.054396455,0.89570148,0.049902065
id20877,0.001552781,0.996707971,0.001739248
id04318,0.820115184,0.098113053,0.081771763
id18299,0.119195826,0.707537208,0.173266965
id08126,0.003670395,0.001193435,0.99513617
id14293,0.66759475,0.026380244,0.306025006
id12759,0.72258689,0.03641941,0.2409937
id11983,0.569347616,0.386910371,0.043742013
id05580,0.120964803,0.784658322,0.094376875
id25846,0.120375166,0.81026319,0.069361644
id01939,0.402009549,0.112234527,0.485755923
id26327,0.50160347,0.099844404,0.398552126
id11068,0.018386836,0.000467855,0.981145309
id08404,0.665931315,0.090734099,0.243334587
id27189,0.556888852,0.434757641,0.008353507
id15119,0.145945302,0.819693711,0.034360987
id26525,0.983734518,0.00201248,0.014253001
id03618,0.363969836,0.475345202,0.160684962
id27220,0.919821335,0.049410434,0.030768231
id18777,0.292833324,0.021094273,0.686072403
id20213,0.766715667,0.10057033,0.132714003
id20403,0.809089834,0.122340563,0.068569603
id03777,0.727269735,0.045152611,0.227577654
id10595,0.601075013,0.317225054,0.081699934
id13816,0.86312872,0.041714906,0.095156374
id05667,0.070998832,0.000703287,0.928297881
id24629,0.785337407,0.168141841,0.046520752
id20398,0.402573729,0.317066297,0.280359974
id14108,0.024918924,0.005657624,0.969423453
id06196,0.047638618,0.928217841,0.024143541
id02800,0.09341819,0.768161747,0.138420063
id18732,0.187187892,0.739541164,0.073270944
id11915,0.01848206,0.940797644,0.040720296
id09739,0.396895437,0.501026418,0.102078144
id24672,0.712913959,0.036806967,0.250279074
id00414,0.000729568,0.013539808,0.985730624
id16307,0.572243737,0.10430673,0.323449534
id14043,0.120943615,0.179226943,0.699829442
id00517,5.04E-11,4.19E-11,1
id09744,0.567922574,0.387615497,0.044461928
id19257,0.914927853,0.038450108,0.046622038
id15437,0.422542096,0.492351425,0.085106479
id16352,0.138381368,0.01358867,0.848029962
id18849,0.398529643,0.120266825,0.481203532
id19434,0.187891043,0.786899536,0.025209422
id17928,0.148551813,0.235339286,0.6161089
id16896,0.152731815,0.157602951,0.689665234
id02135,0.357028127,0.356771324,0.286200549
id15075,0.732796895,0.222897464,0.044305642
id27486,0.127135873,0.83319384,0.039670287
id19422,0.827865097,0.147875691,0.024259212
id09603,0.394517233,0.523817943,0.081664824
id02133,0.213718032,0.667674184,0.118607784
id03441,0.981360533,0.006351882,0.012287585
id02398,0.121986105,0.753665198,0.124348697
id05152,0.231054237,0.071401882,0.697543881
id17838,0.8857493,0.015977978,0.098272722
id25060,0.410269987,0.550801648,0.038928365
id09998,0.360605718,0.161231826,0.478162457
id01828,0.079552797,0.788031107,0.132416095
id25377,0.605996561,0.301650039,0.092353399
id22175,0.003722671,0.994055039,0.00222229
id02974,0.272344551,0.435358689,0.29229676
id26955,0.909292826,0.081177092,0.009530082
id21091,0.924101415,0.020943777,0.054954809
id12802,0.650948811,0.271027273,0.078023916
id07432,0.070917339,0.918913893,0.010168768
id18749,0.319744672,0.410932283,0.269323045
id15030,0.012640403,0.028705194,0.958654403
id17155,0.180643419,0.115575145,0.703781437
id08128,0.040542236,0.858018924,0.10143884
id25706,0.016139193,0.60527198,0.378588827
id15645,0.689230304,0.288980862,0.021788834
id04943,0.828421236,0.116828753,0.05475001
id27566,0.050632879,0.000598011,0.94876911
id11765,0.219104438,0.146432998,0.634462564
id13783,0.493632505,0.459359423,0.047008072
id00492,0.017759705,0.037004965,0.94523533
id27636,0.171112868,0.448546897,0.380340235
id04273,0.415171517,0.340808731,0.244019752
id02537,0.54792279,0.22918747,0.22288974
id24349,0.039929824,0.958166319,0.001903857
id00023,0.001722779,0.992868082,0.005409139
id23025,0.568887294,0.407039138,0.024073568
id08722,0.73578507,0.18371838,0.08049655
id02420,0.928771566,0.062262426,0.008966008
id10811,0.892413323,0.076608325,0.030978352
id04019,0.106918405,0.007898624,0.885182971
id18334,0.736546613,0.218803453,0.044649934
id16781,0.73019507,0.080604118,0.189200812
id08773,0.621942386,0.293124008,0.084933606
id19214,0.523163796,0.254283729,0.222552475
id09589,0.018650115,0.25472447,0.726625415
id24246,0.685354771,0.304056527,0.010588702
id23577,0.601100947,0.384984188,0.013914865
id09305,0.637779558,0.08134217,0.280878272
id16460,0.70729269,0.227316603,0.065390708
id21115,0.948282146,0.037837024,0.01388083
id25996,0.467050917,0.109540362,0.423408721
id02551,0.245966432,0.192676877,0.561356691
id19352,0.093846539,0.091919307,0.814234154
id03806,0.178755851,0.075994095,0.745250054
id26544,0.759173954,0.030432042,0.210394004
id18761,0.623016418,0.165763628,0.211219954
id24148,0.004656603,0.994574286,0.000769111
id16095,0.007033593,0.952113722,0.040852685
id18442,0.576897863,0.326397426,0.09670471
id22596,0.00186214,0.015324165,0.982813695
id23002,0.362400359,0.112553743,0.525045898
id04797,0.932313176,0.034368846,0.033317978
id06610,0.416307741,0.018057785,0.565634474
id16173,0.477386467,0.225033087,0.297580446
id18292,0.217254572,0.639511078,0.14323435
id27328,0.859363772,0.122172626,0.018463602
id01695,0.020942657,0.975306338,0.003751005
id05761,0.556568288,0.041338437,0.402093275
id16354,0.978174228,0.00558418,0.016241591
id12207,0.121120865,0.044284893,0.834594242
id05665,0.271077816,0.006359336,0.722562849
id01911,0.818393493,0.128626241,0.052980265
id19153,0.267897676,0.050217502,0.681884822
id10295,0.534188396,0.226630572,0.239181032
id23038,0.367250704,0.127707726,0.505041571
id23783,0.158350455,0.827693102,0.013956443
id27879,0.488085564,0.485444497,0.026469939
id19190,0.105371106,0.875480189,0.019148705
id05065,0.754203898,0.123861009,0.121935092
id21296,0.097567692,0.853119211,0.049313096
id13262,0.450555234,0.303604107,0.245840659
id10333,0.83647138,0.078646899,0.084881721
id16677,0.976490341,0.016080379,0.00742928
id01392,0.177748023,0.159873651,0.662378327
id27874,0.850382094,0.062855162,0.086762744
id02294,0.63875146,0.133224219,0.228024321
id18298,0.17550233,0.069275331,0.755222339
id06997,0.964638827,0.0236883,0.011672873
id05243,0.567546036,0.132963543,0.299490421
id00860,0.010038845,0.783423327,0.206537829
id26681,0.743043619,0.108324618,0.148631763
id06020,0.026841058,0.000933973,0.972224969
id27683,0.801202081,0.094526675,0.104271244
id17655,0.408182302,0.582234805,0.009582893
id08817,0.201118311,0.036286989,0.762594701
id11512,0.006410408,0.880854453,0.112735138
id00478,0.558096006,0.203541634,0.23836236
id02116,0.790632101,0.162512587,0.046855312
id06746,0.837676621,0.098943098,0.063380281
id03863,0.504945691,0.169549014,0.325505295
id01802,0.625161044,0.055376033,0.319462922
id11682,0.733073182,0.116452106,0.150474711
id04033,0.003591723,0.991286168,0.005122108
id09286,0.043732048,0.907800736,0.048467216
id12904,0.477658159,0.404456319,0.117885522
id07420,0.040524267,0.004848324,0.954627409
id22398,0.002409832,0.997342325,0.000247843
id00424,0.049086351,0.004751947,0.946161701
id20960,0.801286569,0.176297212,0.022416219
id10267,0.398175648,0.137730327,0.464094025
id19330,0.73770851,0.135177579,0.12711391
id00994,0.020625902,0.939017689,0.040356409
id10785,0.170586491,0.687174029,0.14223948
id00955,0.371577484,0.331345744,0.297076772
id09757,0.011476552,0.969047779,0.019475669
id10030,0.532563385,0.128167275,0.339269339
id22952,0.332639676,0.579253099,0.088107226
id21955,0.048097125,0.077934851,0.873968023
id07674,0.441023866,0.386240769,0.172735365
id13760,0.774212096,0.21097031,0.014817594
id18166,0.953333464,0.000974256,0.04569228
id23498,0.337628032,0.355874229,0.30649774
id05296,0.753779032,0.133350906,0.112870062
id26709,0.49616141,0.329850095,0.173988495
id02853,0.933410282,0.020099106,0.046490613
id06800,0.375059058,0.326468413,0.29847253
id14758,0.93733105,0.060131604,0.002537346
id12356,0.946848685,0.033931781,0.019219534
id21492,0.890777593,0.079338692,0.029883715
id27540,0.701904646,0.142372578,0.155722776
id07376,0.003144062,0.926023531,0.070832408
id15201,0.559530699,0.32187946,0.118589841
id23388,0.019430395,0.879672408,0.100897197
id13923,0.007557877,0.989828548,0.002613575
id00794,9.07E-05,0.99022033,0.009688942
id23910,0.192162166,0.370147375,0.437690459
id02556,0.464084894,0.139877964,0.396037142
id22151,0.019477537,0.979461657,0.001060806
id11698,0.530252544,0.201203266,0.26854419
id11627,0.437313609,0.11783879,0.4448476
id06340,0.513199187,0.188568904,0.29823191
id05123,0.955998302,0.008512748,0.03548895
id26620,0.156552611,0.007058653,0.836388736
id04002,0.127302385,0.410236444,0.462461171
id26554,0.022798146,0.767712596,0.209489258
id18012,0.047544056,0.257048609,0.695407335
id12964,0.187439701,0.089917386,0.722642913
id18965,0.03190515,0.498199961,0.469894888
id19082,0.472995112,0.249927475,0.277077414
id26742,0.058420604,0.065190334,0.876389062
id15442,0.277692006,0.49255616,0.229751834
id16647,0.812289566,0.020470568,0.167239866
id11544,0.429841745,0.170458055,0.3997002
id20581,0.454284621,0.230910252,0.314805127
id13192,0.290315373,0.586632788,0.123051839
id15814,0.211326241,0.685880535,0.102793224
id26279,0.59021824,0.386753409,0.02302835
id00240,0.754699772,0.085797771,0.159502457
id22836,0.583091913,0.380571693,0.036336394
id15085,0.045582778,0.89668165,0.057735572
id17495,0.713034866,0.118700668,0.168264466
id26762,0.844949493,0.027209342,0.127841165
id13685,0.945441323,0.029661679,0.024896998
id16560,0.016565445,0.976154245,0.00728031
id17184,0.037867047,0.857991483,0.104141471
id21635,0.996468934,0.002758296,0.00077277
id26751,0.314994779,0.508392148,0.176613074
id12351,0.332888703,0.199839311,0.467271986
id14872,0.644295632,0.221787701,0.133916667
id18372,0.586838613,0.102632713,0.310528674
id26851,0.684127416,0.272828238,0.043044346
id22659,0.602423737,0.395389366,0.002186897
id04102,0.034882623,0.22442136,0.740696017
id02353,0.005415951,0.991347982,0.003236067
id26721,0.988803366,0.006796199,0.004400435
id11171,0.672865937,0.13233032,0.194803743
id13562,0.634016513,0.132267559,0.233715928
id26425,0.777394625,0.163487382,0.059117993
id26394,0.108482624,0.854922871,0.036594505
id22187,0.735836971,0.105007528,0.159155501
id00422,0.999815214,2.37E-05,0.00016105
id22667,0.001829752,0.997680299,0.000489949
id00911,0.684420662,0.063932142,0.251647196
id17291,0.569752601,0.18037861,0.24986879
id01915,0.340789557,0.326810695,0.332399748
id01434,0.510731927,0.135224384,0.354043689
id01584,0.60543166,0.066424394,0.328143947
id09266,0.721098353,0.150159489,0.128742158
id17494,0.199978853,0.65417901,0.145842137
id24919,0.49756176,0.349634124,0.152804115
id21043,0.584601487,0.000732323,0.414666189
id17796,0.091002754,0.904383233,0.004614014
id02166,0.372772056,0.010433694,0.61679425
id17503,0.182477707,0.594483441,0.223038852
id21203,0.643246929,0.124360702,0.23239237
id25626,0.986270226,0.012693884,0.00103589
id09836,0.580060622,0.398617052,0.021322326
id24202,0.053694019,0.307253538,0.639052443
id27260,0.902284773,0.045477117,0.05223811
id23167,0.080528086,0.006736931,0.912734983
id10393,0.179956006,0.766594009,0.053449985
id01171,0.934960848,0.019115151,0.045924001
id06380,0.915228124,0.044387607,0.040384269
id22686,0.288334327,0.049686174,0.661979499
id26250,0.46017823,0.210954656,0.328867115
id09315,0.190190641,0.706485317,0.103324042
id00886,0.421634576,0.357758503,0.220606921
id03101,0.72908094,0.220456792,0.050462268
id12367,0.7127946,0.077717479,0.209487921
id10770,0.613505311,0.173208945,0.213285744
id14949,0.095266889,0.894046264,0.010686847
id14141,0.253856074,0.741437649,0.004706277
id25417,0.581000927,0.394786275,0.024212797
id26873,0.899479701,0.054810605,0.045709695
id10818,0.250893048,0.447970315,0.301136637
id15146,0.767974187,0.09541449,0.136611323
id23328,0.953300099,0.046247651,0.00045225
id16765,0.496281868,0.492232979,0.011485154
id24383,0.806636426,0.057068869,0.136294705
id21304,0.928073037,0.063834356,0.008092606
id12551,0.040041504,0.910562308,0.049396189
id23274,0.624950648,0.093125175,0.281924177
id08117,0.824145341,0.10988056,0.0659741
id23961,0.900029817,0.063999156,0.035971027
id13865,0.091585185,0.88419049,0.024224325
id22807,0.659794167,0.16826155,0.171944283
id08951,0.497717053,0.149650486,0.35263246
id18684,0.947713407,0.007974848,0.044311745
id25179,0.117427973,0.791339263,0.091232764
id27033,0.997923794,0.000307804,0.001768403
id13977,0.533281963,0.231234128,0.235483909
id19337,0.011089299,0.974181151,0.01472955
id25764,9.48E-07,0.999794568,0.000204483
id16106,0.107859002,0.020024621,0.872116377
id05468,0.641887646,0.001644473,0.356467881
id05241,0.942056507,0.03129606,0.026647432
id10215,0.751908025,0.114615562,0.133476413
id23457,0.015427015,0.019252307,0.965320677
id02200,0.99553846,0.000669862,0.003791678
id13714,0.634752258,0.259714069,0.105533673
id20332,0.017119149,0.00319112,0.979689731
id18573,0.059990046,0.032443184,0.907566771
id08569,0.404292308,6.59E-05,0.595641814
id22767,0.427964326,0.470674868,0.101360806
id25390,0.49580995,0.384234962,0.119955088
id09288,0.740527703,0.235650942,0.023821355
id12381,0.885092674,0.107360223,0.007547103
id02895,0.477335562,0.335877881,0.186786557
id25270,0.003473637,0.000679086,0.995847278
id14248,0.418958952,0.057415812,0.523625236
id12831,0.9873005,0.001627602,0.011071898
id18305,0.620892155,0.312404755,0.06670309
id07805,0.466891788,0.485348462,0.04775975
id14027,0.265089169,0.067736881,0.667173951
id02760,0.841426751,0.142445872,0.016127377
id24362,0.98302007,0.012539237,0.004440693
id17065,0.600191041,0.281171254,0.118637706
id26583,0.458573721,0.337130227,0.204296053
id19664,0.999864675,0.000117939,1.74E-05
id25145,0.851027957,0.080339705,0.068632338
id17858,0.004365351,0.994864971,0.000769677
id05148,0.291421648,0.065594867,0.642983485
id22928,0.80995667,0.150625845,0.039417485
id21549,0.219550609,0.000608979,0.779840413
id12649,0.146158053,0.838178095,0.015663852
id21597,0.781197726,0.105511454,0.11329082
id27945,0.670876564,0.289534516,0.03958892
id00243,0.975275982,0.012147687,0.012576331
id02745,0.988510023,0.007631792,0.003858185
id23550,0.161279281,0.014374575,0.824346144
id13023,0.740014308,0.025835612,0.23415008
id24796,0.067363895,0.019858584,0.912777521
id12284,0.567526014,0.366350134,0.066123852
id02664,1.01E-13,0.999999901,9.90E-08
id23767,0.990008487,0.004276051,0.005715462
id05859,0.014337747,0.968486588,0.017175665
id14350,0.225734476,0.706904121,0.067361403
id01191,0.096030825,0.332145158,0.571824016
id17034,0.576397252,0.186299229,0.237303519
id25292,0.366037702,0.086857023,0.547105275
